,title,price,url,item_id,bid_count,location,condition,start_time,date,sold_amount,date_sold,rating
235,"MICHAEL JORDAN "" 1986 "" FLEER STICKER #8 "" ROOKIE "" PSA 8 $$$ !!!",2544.95,https://www.ebay.com/itm/MICHAEL-JORDAN-1986-FLEER-STICKER-8-ROOKIE-PSA-8-/116434563994,116434563994,,"Marshalltown,IA,USA",Graded,2025-01-02,2025-01-09,2544.95,Active,8
236,1996 Fleer Michael Jordan Decade of Excellence #4 PSA 9 MINT Chicago Bulls,50.0,https://www.ebay.com/itm/1996-Fleer-Michael-Jordan-Decade-Excellence-4-PSA-9-MINT-Chicago-Bulls-/365331554618,365331554618,,"Rosemead,CA,USA",Graded,2025-01-09,2025-01-09,50.0,Active,9
237,1986 Fleer Michael Jordan #57 PSA 8 NM-MT Centered New PSA Label,9999.95,https://www.ebay.com/itm/1986-Fleer-Michael-Jordan-57-PSA-8-NM-MT-Centered-New-PSA-Label-/324782177388,324782177388,,"Lake Mills,WI,USA",Graded,2021-09-08,2025-01-09,9999.95,Active,8
238,1986 Fleer Sticker Michael Jordan #8 PSA 4 Rookie Card Chicago Bulls,579.0,https://www.ebay.com/itm/1986-Fleer-Sticker-Michael-Jordan-8-PSA-4-Rookie-Card-Chicago-Bulls-/226373621495,226373621495,,"Mountain Home,AR,USA",Graded,2024-09-27,2025-01-09,579.0,Active,4
239,1986-87 FLEER MICHAEL JORDAN RC PSA 6 Rookie Card GOAT,5000.0,https://www.ebay.com/itm/1986-87-FLEER-MICHAEL-JORDAN-RC-PSA-6-Rookie-Card-GOAT-/305408162876,305408162876,,"Windom,MN,USA",Graded,2024-02-21,2025-01-09,5000.0,Active,6
240,1986-87 Fleer Basketball ROOKIE Michael Jordan #57 - PSA 8 - Chicago Bulls,9999.99,https://www.ebay.com/itm/1986-87-Fleer-Basketball-ROOKIE-Michael-Jordan-57-PSA-8-Chicago-Bulls-/387318782523,387318782523,,"Forest Hills,NY,USA",Graded,2024-08-22,2025-01-09,9999.99,Active,8
241,1986-87 FLEER BASKETBALL MICHAEL JORDAN ROOKIE #57 BGS 9.5 GEM MINT EYE APPEAL,65999.0,https://www.ebay.com/itm/1986-87-FLEER-BASKETBALL-MICHAEL-JORDAN-ROOKIE-57-BGS-9-5-GEM-MINT-EYE-APPEAL-/256742709422,256742709422,,"Brownstown,PA,USA",Graded,2024-12-07,2025-01-09,65999.0,Active,9
242,MICHAEL JORDAN BGS 8.5 NM/MINT+ 1986 FLEER ROOKIE #67 CHICAGO BULLS BASKETBALL,9999.23,https://www.ebay.com/itm/MICHAEL-JORDAN-BGS-8-5-NM-MINT-1986-FLEER-ROOKIE-67-CHICAGO-BULLS-BASKETBALL-/373799001693,373799001693,,"Tucson,AZ,USA",Graded,2021-11-20,2025-01-09,9999.23,Active,8
243,PSA 9 1996 Ultra Decade Of Excellence #4 Michael Jordan Commemorates 1986 RC 🔥,59.97,https://www.ebay.com/itm/PSA-9-1996-Ultra-Decade-Excellence-4-Michael-Jordan-Commemorates-1986-RC-/115447429097,115447429097,,"Wilmington,NC,USA",Graded,2022-06-29,2025-01-09,59.97,Active,9
244,1996 Fleer Michael Jordan Decade of Excellence #4 PSA 10 GEM MINT Chicago Bulls,310.0,https://www.ebay.com/itm/1996-Fleer-Michael-Jordan-Decade-Excellence-4-PSA-10-GEM-MINT-Chicago-Bulls-/365295956468,365295956468,,"Rosemead,CA,USA",Graded,2024-12-19,2025-01-09,310.0,Active,10
